report_id,source,recommendation,ncsc_likelihood
1_A,Human source,Consistent recommendation,High
2_A,Human source,Inconsistent recommendation,Medium
3_A,AI source,Consistent recommendation,Medium
4_A,AI source,Inconsistent recommendation,High
5_A,AI source,Inconsistent recommendation,High
6_A,AI source,Consistent recommendation,Medium
7_A,Human source,Inconsistent recommendation,Medium
8_A,Human source,Consistent recommendation,High
1_B,Human source,Inconsistent recommendation,Medium
2_B,AI source,Consistent recommendation,Medium
3_B,AI source,Inconsistent recommendation,High
4_B,Human source,Consistent recommendation,High
5_B,Human source,Consistent recommendation,High
6_B,AI source,Inconsistent recommendation,High
7_B,AI source,Consistent recommendation,Medium
8_B,Human source,Inconsistent recommendation,Medium
1_C,AI source,Consistent recommendation,Medium
2_C,AI source,Inconsistent recommendation,High
3_C,Human source,Consistent recommendation,High
4_C,Human source,Inconsistent recommendation,Medium
5_C,Human source,Inconsistent recommendation,Medium
6_C,Human source,Consistent recommendation,High
7_C,AI source,Inconsistent recommendation,High
8_C,AI source,Consistent recommendation,Medium
1_D,AI source,Inconsistent recommendation,High
2_D,Human source,Consistent recommendation,High
3_D,Human source,Inconsistent recommendation,Medium
4_D,AI source,Consistent recommendation,Medium
5_D,AI source,Consistent recommendation,Medium
6_D,Human source,Inconsistent recommendation,Medium
7_D,Human source,Consistent recommendation,High
8_D,AI source,Inconsistent recommendation,High
1_E,Human source,Consistent recommendation,High
2_E,AI source,Consistent recommendation,Medium
3_E,AI source,Inconsistent recommendation,High
4_E,Human source,Inconsistent recommendation,Medium
5_E,Human source,Inconsistent recommendation,Medium
6_E,AI source,Inconsistent recommendation,High
7_E,AI source,Consistent recommendation,Medium
8_E,Human source,Consistent recommendation,High
1_F,Human source,Inconsistent recommendation,Medium
2_F,AI source,Inconsistent recommendation,High
3_F,Human source,Consistent recommendation,High
4_F,AI source,Consistent recommendation,Medium
5_F,AI source,Consistent recommendation,Medium
6_F,Human source,Consistent recommendation,High
7_F,AI source,Inconsistent recommendation,High
8_F,Human source,Inconsistent recommendation,Medium
1_G,AI source,Consistent recommendation,Medium
2_G,Human source,Consistent recommendation,High
3_G,Human source,Inconsistent recommendation,Medium
4_G,AI source,Inconsistent recommendation,High
5_G,AI source,Inconsistent recommendation,High
6_G,Human source,Inconsistent recommendation,Medium
7_G,Human source,Consistent recommendation,High
8_G,AI source,Consistent recommendation,Medium
1_H,AI source,Inconsistent recommendation,High
2_H,Human source,Inconsistent recommendation,Medium
3_H,AI source,Consistent recommendation,Medium
4_H,Human source,Consistent recommendation,High
5_H,Human source,Consistent recommendation,High
6_H,AI source,Consistent recommendation,Medium
7_H,Human source,Inconsistent recommendation,Medium
8_H,AI source,Inconsistent recommendation,High
1_I,Human source,Consistent recommendation,High
2_I,AI source,Inconsistent recommendation,High
3_I,AI source,Consistent recommendation,Medium
4_I,Human source,Inconsistent recommendation,Medium
5_I,Human source,Inconsistent recommendation,Medium
6_I,AI source,Consistent recommendation,Medium
7_I,AI source,Inconsistent recommendation,High
8_I,Human source,Consistent recommendation,High
1_J,Human source,Inconsistent recommendation,Medium
2_J,Human source,Consistent recommendation,High
3_J,AI source,Inconsistent recommendation,High
4_J,AI source,Consistent recommendation,Medium
5_J,AI source,Consistent recommendation,Medium
6_J,AI source,Inconsistent recommendation,High
7_J,Human source,Consistent recommendation,High
8_J,Human source,Inconsistent recommendation,Medium
1_K,AI source,Consistent recommendation,Medium
2_K,Human source,Inconsistent recommendation,Medium
3_K,Human source,Consistent recommendation,High
4_K,AI source,Inconsistent recommendation,High
5_K,AI source,Inconsistent recommendation,High
6_K,Human source,Consistent recommendation,High
7_K,Human source,Inconsistent recommendation,Medium
8_K,AI source,Consistent recommendation,Medium
1_L,AI source,Inconsistent recommendation,High
2_L,AI source,Consistent recommendation,Medium
3_L,Human source,Inconsistent recommendation,Medium
4_L,Human source,Consistent recommendation,High
5_L,Human source,Consistent recommendation,High
6_L,Human source,Inconsistent recommendation,Medium
7_L,AI source,Consistent recommendation,Medium
8_L,AI source,Inconsistent recommendation,High
